,self,corr,log,sqrt,pow2.0,pow3.0,pow1.5,pow1.2,pow0.7,exp,round,round-1,gtMean,getMedian,max,min,fark
0,Posted On,0.23154010569072592,0.23648124712834132,0.23688928431927472,0.20713188949000572,0.18140824785780635,0.2208522699736908,0.2278108151008671,0.23546389114102484,,0.2315404821364619,0.2315366148908546,0.19212953104929822,0.1762980410813209,0.23688928431927472,0.1762980410813209,0.005349178628548806
1,BHK,0.40092830683632263,0.3741902523413034,0.390033899778116,0.3975388185021173,0.35211831618772127,0.404143909135376,0.4032744539086017,0.3951455483912479,0.22953202287349903,0.40092830683632263,0.04967311403953291,0.26023367342347636,0.3866136267270051,0.404143909135376,0.04967311403953291,0.0032156022990533772
2,Rent,1.0,0.9367092394106724,0.9854711790017804,0.9624561549328284,0.8927406187323876,0.9889340271035459,0.9980579280910823,0.994999333795596,,1.0,0.9999999999176502,0.8026275399170162,0.743644729081666,1.0,0.743644729081666,0.0
3,Size,0.39338915899111715,0.3191147172739684,0.3694986767619838,0.3862810412497561,0.3270520053524187,0.3977895087922487,0.39722376629476863,0.3817707863014852,,0.39338915899111715,0.39327559750044044,0.24240010565777123,0.24788257428497612,0.3977895087922487,0.24240010565777123,0.004400349801131576
4,Floor,0.4357321312454386,0.5204064562437282,0.494232549418478,0.24263843653259204,0.10283057850799446,0.34485052009524414,0.40262462719895975,0.47505566609699834,,0.43573119500855034,0.43573333139474124,0.5123535130665791,0.3774533093260556,0.5204064562437282,0.10283057850799446,0.08467432499828959
5,Area Locality,0.4683031956412104,0.7958966904917288,0.7402723842449095,0.05625367192489134,0.006851452849530762,0.1763145181586098,0.33112254412476483,0.6600729671416766,,0.46830326887197454,0.46830343576262623,0.7077878473228333,0.6297185787880376,0.7958966904917288,0.006851452849530762,0.3275934948505184
6,Furnishing Status,0.20299281390058252,,0.1951843947937122,0.19095560227734207,0.17326154633664756,0.1997538486542643,0.2027658566843037,0.19981894671784875,0.1929898692474291,0.20299281390058252,,0.1764653063705779,0.15035525506230085,0.20299281390058252,0.15035525506230085,0.0
7,Bathroom,0.5063010685964052,0.49375238668509985,0.5034386945081514,0.4739065866030833,0.3776105694466381,0.4978447981665088,0.5045353643300267,0.5056443569558463,0.1785850690205465,0.5063010685964052,0.06401715589049588,0.4083004717131786,0.415616382886883,0.5063010685964052,0.06401715589049588,0.0
8,Area Type_Carpet Area,0.3099192358457946,,0.3099192358457946,0.3099192358457946,0.3099192358457946,0.3099192358457946,0.3099192358457946,0.3099192358457946,0.3099192358457949,0.3099192358457946,,0.3099192358457946,0.3099192358457946,0.3099192358457949,0.3099192358457946,2.7755575615628914e-16
9,Area Type_Super Area,-0.3099192358457946,,-0.3099192358457946,-0.3099192358457946,-0.3099192358457946,-0.3099192358457946,-0.3099192358457946,-0.3099192358457946,-0.3099192358457949,-0.3099192358457946,,-0.3099192358457946,,-0.3099192358457946,-0.3099192358457949,0.0
10,City_Bangalore,-0.09298254610549594,,-0.09298254610549594,-0.09298254610549594,-0.09298254610549594,-0.09298254610549594,-0.09298254610549594,-0.09298254610549594,-0.09298254610549586,-0.09298254610549594,,-0.09298254610549594,-0.09298254610549594,-0.09298254610549586,-0.09298254610549594,-8.326672684688674e-17
11,City_Chennai,-0.10667406981370317,,-0.10667406981370317,-0.10667406981370317,-0.10667406981370317,-0.10667406981370317,-0.10667406981370317,-0.10667406981370317,-0.10667406981370312,-0.10667406981370317,,-0.10667406981370317,-0.10667406981370317,-0.10667406981370312,-0.10667406981370317,-5.551115123125783e-17
12,City_Delhi,-0.0009430953399313438,,-0.0009430953399313438,-0.0009430953399313438,-0.0009430953399313438,-0.0009430953399313438,-0.0009430953399313438,-0.0009430953399313438,-0.0009430953399314066,-0.0009430953399313438,,-0.0009430953399313438,-0.0009430953399313438,-0.0009430953399313438,-0.0009430953399314066,0.0
13,City_Hyderabad,-0.07216856043187382,,-0.07216856043187382,-0.07216856043187382,-0.07216856043187382,-0.07216856043187382,-0.07216856043187382,-0.07216856043187382,-0.07216856043187388,-0.07216856043187382,,-0.07216856043187382,-0.07216856043187382,-0.07216856043187382,-0.07216856043187388,0.0
14,City_Kolkata,-0.21674483725987748,,-0.21674483725987748,-0.21674483725987748,-0.21674483725987748,-0.21674483725987748,-0.21674483725987748,-0.21674483725987748,-0.2167448372598774,-0.21674483725987748,,-0.21674483725987748,-0.21674483725987748,-0.2167448372598774,-0.21674483725987748,-8.326672684688674e-17
15,City_Mumbai,0.5155342623244599,,0.5155342623244599,0.5155342623244599,0.5155342623244599,0.5155342623244599,0.5155342623244599,0.5155342623244599,0.5155342623244596,0.5155342623244599,,0.5155342623244599,0.5155342623244599,0.5155342623244599,0.5155342623244596,0.0
16,Tenant Preferred_Bachelors,0.12027350640391708,,0.12027350640391708,0.12027350640391708,0.12027350640391708,0.12027350640391708,0.12027350640391708,0.12027350640391708,0.12027350640391687,0.12027350640391708,,0.12027350640391708,0.12027350640391708,0.12027350640391708,0.12027350640391687,0.0
17,Tenant Preferred_Bachelors/Family,-0.17989729714326896,,-0.17989729714326896,-0.17989729714326896,-0.17989729714326896,-0.17989729714326896,-0.17989729714326896,-0.17989729714326896,-0.17989729714326885,-0.17989729714326896,,-0.17989729714326896,,-0.17989729714326885,-0.17989729714326896,-1.1102230246251565e-16
18,Tenant Preferred_Family,0.11762505649504487,,0.11762505649504487,0.11762505649504487,0.11762505649504487,0.11762505649504487,0.11762505649504487,0.11762505649504487,0.11762505649504473,0.11762505649504487,,0.11762505649504487,0.11762505649504487,0.11762505649504487,0.11762505649504473,0.0
19,Point of Contact_Contact Agent,0.5561524229939768,,0.5561524229939768,0.5561524229939768,0.5561524229939768,0.5561524229939768,0.5561524229939768,0.5561524229939768,0.5561524229939769,0.5561524229939768,,0.5561524229939768,0.5561524229939768,0.5561524229939769,0.5561524229939768,1.1102230246251565e-16
20,Point of Contact_Contact Owner,-0.5561524229939768,,-0.5561524229939768,-0.5561524229939768,-0.5561524229939768,-0.5561524229939768,-0.5561524229939768,-0.5561524229939768,-0.5561524229939769,-0.5561524229939768,,-0.5561524229939768,,-0.5561524229939768,-0.5561524229939769,0.0
